district_number,district_name,district_keywords
1,Luxury,"Satellite,Communication,Broadcasting,Telecommunication,Tourism,Wireless"
2,Weapons,"Defense,Military,Weapon,Aerospace Defense,Missile,Combat"
3,Technology,"Computer,Software,Semiconductor,Electronic,Data Processing,Internet"
4,Maritime,"Water,Ship,Maritime,Ocean,Marine,Navigation,Coastal"
5,Power,"Electric,Power,Utilities,Energy,Solar,Oil,Gas"
6,Transportation,"Transportation,Logistics,Warehousing,Courier,Air,Transit"
7,Lumber,"Wood,Forestry,Paper,Earth Observation,Mapping,Geospatial"
8,Textiles,"Textile,Apparel,Manufacturing,Materials,Chemical,Plastics"
9,Grain,"Food,Agriculture,Crop,Grain,Beverage,Processing"
10,Livestock,"Animal,Livestock,Biological,Life Sciences,Medical,Pharmaceutical"
11,Agriculture,"Environmental,Climate,Weather,Atmospheric,Conservation"
12,Mining,"Mining,Extraction,Coal,Metal,Mineral,Quarrying"
13,Underground,"Other,Miscellaneous,Unknown,Research,Development"
