district_number,district_name,economic_growth,employment_resilience,private_dominance,innovation_intensity,economic_scale,manufacturing_strength,growth_score,resilience_score,private_score,innovation_score,scale_score,manufacturing_score,competitive_index,rank,tier
3,Technology,4.758964952336631,-5.1724137931034475,100,94.5853743876837,22864,0,73.79482476168315,37.06896551724138,100,100,87.18304422893789,0,69.58080371676286,1,🥇 TIER 1 - Investment Magnets
8,Textiles,2.9872137444856284,-11.2,100,0,35932,99.82745185350106,64.93606872242815,22,100,0,91.10962782017995,100,59.74497996262504,2,🥇 TIER 1 - Investment Magnets
7,Lumber,11.868894208139679,0,100,0,25,0,100,50,100,0,27.958800173440753,0,57.795880017344075,3,🥇 TIER 1 - Investment Magnets
6,Transportation,1.3774139072998404,-12.5,100,0,15260,83.2175622542595,56.8870695364992,18.75,100,0,83.67109067237723,100,56.33887645136252,4,🥈 TIER 2 - Emerging Champions
12,Mining,6.931422433617085,0,100,0,359,0,84.65711216808543,50,100,0,51.10188897156639,0,56.274466939178,5,🥈 TIER 2 - Emerging Champions
5,Power,-3.7898865699528272,0,100,0,630,99.68253968253968,31.050567150235864,50,100,0,55.986810989071635,100,53.36132288646613,6,🥈 TIER 2 - Emerging Champions
9,Grain,4.270479563607488,0,100,0,274,0,71.35239781803745,50,100,0,48.755011256407755,0,52.713600580150135,7,🥉 TIER 3 - Steady Performers
13,Underground,0.5402741316828497,0.3370786516853963,78.76493360443911,5.915465159548769,486403,0,52.70137065841425,50.84269662921349,78.76493360443911,23.661860638195076,100,0,52.64614780706334,8,🥉 TIER 3 - Steady Performers
1,Luxury,-0.20615460430244426,-25.555555555555554,100,0,149464,0,48.96922697848778,0,100,0,100,0,42.24230674462194,9,🥉 TIER 3 - Steady Performers
2,Weapons,4.022518344044657,0,0,0,32048,0,70.11259172022328,50,0,0,90.11601863899003,0,36.539749793954826,10,⚠️ TIER 4 - Improvement Needed
4,Maritime,-100,0,NA,0,0,0,0,50,NA,0,0,0,NA,11,⚠️ TIER 4 - Improvement Needed
